title,artist,link
Reclining Female Nude on White Iron Bed,Unknown,art/record/122802?highlight=*:*
Bottles on Table,Unknown,art/record/122760?highlight=*:*
Untitled - Two Sitting Nude Women (1983-1984),Robert Maclaurin,art/record/99427?highlight=*:*
Untitled (Unknown),S J Dooley,art/record/99910?highlight=*:*
Portrait of a Man (1939-1940),Robert A Campbell,art/record/21127?highlight=*:*
IV (1963),John Bellany,art/record/20745?highlight=*:*
Fancy Pipe (2006),Michael Hecht,art/record/99882?highlight=*:*
Unknown,Unknown,art/record/53511?highlight=*:*
Untitled (1962),Paresh C. Chakraborty,art/record/112307?highlight=*:*
My Boots Are Wet from the grass (2006),Becky Campbell,art/record/99962?highlight=*:*
Untitled (1967),Gwen Mackenzie,art/record/111034?highlight=*:*
Standing Female Nude (1959),Kenneth Dingwall,art/record/21329?highlight=*:*
Reclining Nude - Female (1953),Mary C. A. Edmond,art/record/22722?highlight=*:*
Railway Track (2002),Manson Heather,art/record/112495?highlight=*:*
Benin Head (1964-1964),Vincent Butler,art/record/99224?highlight=*:*
Abstract with Circles (Circa 1945),Alan Davie,art/record/20749?highlight=*:*
Sketches of Five Heads (1959),Denness Morton,art/record/20886?highlight=*:*
Portrait of a Man,Jeffery S. Firth,art/record/21327?highlight=*:*
