title,artist,link
Untitled (Unknown),Unknown,art/record/99918?highlight=*:*
Crow in Black Spectacles,Michael Orthenstein,art/record/122251?highlight=*:*
Unknown,Alexander Cree,art/record/50550?highlight=*:*
Reclining Nude,Augustus John,art/record/122697?highlight=*:*
Unknown (31 MAY 1960),Rhona L. Barclay,art/record/50618?highlight=*:*
Unknown (1949),Betty Elston,art/record/50582?highlight=*:*
Untitled (1973),Ken McLennan,art/record/21844?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99802?highlight=*:*
Untitled (Unknown),Patrick McKenzie Smith,art/record/21613?highlight=*:*
Vojna Tajna (1983),Boris Bućan,art/record/22471?highlight=*:*
Unknown (1947-1948),William D Clyne,art/record/50635?highlight=*:*
Still Life with Bols Bottle,Leonard I. H. Gray,art/record/22673?highlight=*:*
Opera - Vienna (1963-1964),Leslie Allan,art/record/99384?highlight=*:*
Untitled (Mar 1963),John Bellany,art/record/21535?highlight=*:*
Unknown (Circa 1984),Malcolm Clark,art/record/50413?highlight=*:*
Portrait of a Man (1957),Rupert F C Cracknell,art/record/21362?highlight=*:*
Untitled (2014),Rachel Hill,art/record/47450?highlight=*:*
11. Ann Monotype (1959),Alan M. Alexander,art/record/50600?highlight=*:*
Man Against Yellow Wall (1985-1986),Robbie Bushe,art/record/21520?highlight=*:*
Portrait of a Woman (1957),Norman E Kirkpatrick,art/record/21021?highlight=*:*
Two Farmers in the Field (1951),James P W Syme,art/record/21262?highlight=*:*
Untitled (1967),Helen Pollock,art/record/112446?highlight=*:*
Train Station,T Honeyman,art/record/21463?highlight=*:*
Female Model with Mirror (1962),Helen G. S Forde,art/record/122864?highlight=*:*
Unknown (1950),Zygmunt Bukowski,art/record/53556?highlight=*:*
Untitled (Unknown),David C Duke,art/record/21986?highlight=*:*
Small black figure with long wavy hair,Unknown,art/record/20546?highlight=*:*
Portrait of a Man (1966),James Fairgrieve,art/record/21398?highlight=*:*
Plate,Emma Gillies,art/record/53669?highlight=*:*
Matthew (1989),Janie Nichol,art/record/50414?highlight=*:*
Angel with hand raised in blessing,Unknown,art/record/20545?highlight=*:*
Man in a Suit Seated on a Stool (1959),Albert Robson,art/record/20785?highlight=*:*
Unknown (1949),James N. Hardie,art/record/50531?highlight=*:*
The Misadventure (1989),John Brown,art/record/21575?highlight=*:*
Two Men on a Train (12 JUN 1948),Marjorie Wallace,art/record/20856?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,art/record/50470?highlight=*:*
Untitled (Unknown),Unknown,art/record/21816?highlight=*:*
The Little Posy (1957),Anne Redpath,art/record/19999?highlight=*:*
Ayrshire christening robe (1800-1899),Unknown,art/record/102679?highlight=*:*
Still Life with Vase of Fuchsias (1954),Edith Fraser,art/record/22740?highlight=*:*
Untitled,Jean M. A. Conacher,art/record/112353?highlight=*:*
Teacup,Emma Gillies,art/record/53640?highlight=*:*
Standing Boxer (1964),John Bellany,art/record/20778?highlight=*:*
Untitled,Peter Pretsell,art/record/99795?highlight=*:*
Nude Woman with Oranges (1962),Norma M. Kirk,art/record/122914?highlight=*:*
Untitled (Unknown),Unknown,art/record/99921?highlight=*:*
Kneeling Female Nude (1957),Andrew Conkie,art/record/20925?highlight=*:*
Seated Man in Period Costume (1967),Wilson,art/record/21267?highlight=*:*
Untitled (1969),John Stewart,art/record/22486?highlight=*:*
Untitled (1960),Kathleen Russell,art/record/99522?highlight=*:*
Seated Male Nude (1953),Diana Douglas-Hamilton,art/record/20928?highlight=*:*
Untitled - Abstract Forest Landscape (1962-1966),Laura McPherson,art/record/99391?highlight=*:*
Standing Male Nude with White Cloth over Shoulders (1950),Joan Connell,art/record/122863?highlight=*:*
Kneeling Male Nude (1953),George Hamilton,art/record/20932?highlight=*:*
Untitled (1986),Ian McKenzie Smith,art/record/21708?highlight=*:*
Untitled (Unknown),Unknown,art/record/21917?highlight=*:*
Chinese spectacle case,Unknown,art/record/102704?highlight=*:*
Standing Male Nude,R Hardie,art/record/21038?highlight=*:*
The Repairable Flatpack Toaster (2017),Kasey Hou,art/record/100020?highlight=*:*
Unknown,Unknown,art/record/53512?highlight=*:*
Portrait of a Woman (1939-1940),James Gordon,art/record/21097?highlight=*:*
Step 4 (2013),Maria Hadam,art/record/21309?highlight=*:*
Thurs 2nd Sept '82 Along from Rialto (02 Sep 1982),Moira A Edmondston,art/record/99431?highlight=*:*
Untitled (Unknown),Unknown,art/record/21556?highlight=*:*
Untitled (Unknown),Unknown,art/record/21984?highlight=*:*
Untitled - Country Houses and Fields (1963),Helen Wishart,art/record/99451?highlight=*:*
Untitled (1986),R. Euman,art/record/21629?highlight=*:*
Nude Sleeping,Raymon Pattie,art/record/22529?highlight=*:*
Untitled (Unknown),Unknown,art/record/21994?highlight=*:*
Gem cabinet 1 (of 6) containing 43 medallions,Unknown,art/record/20615?highlight=*:*
Portrait of a Bearded Man (1960),Elise Brown,art/record/20977?highlight=*:*
Replica cast (white) of Parthenon slab GE31,Unknown,art/record/20655?highlight=*:*
Standing Male Nude (1939-1940),Eleanora Borrie,art/record/21133?highlight=*:*
The Sons of Usnach at Chess (1964),John B Vallely,art/record/21006?highlight=*:*
1st State (Unknown),Euan Gray,art/record/21954?highlight=*:*
Flight Path No 1 (1977),Wilhelmina Barns-Graham CBE HRSA HRSW,art/record/19635?highlight=*:*
Jug,Emma Gillies,art/record/122540?highlight=*:*
Portrait of a Woman (02 NOV 1953),Elizabeth Blackadder,art/record/21407?highlight=*:*
Plate,Emma Gillies,art/record/53672?highlight=*:*
Untitled - Circus Rider and Horse (1963),Jean M. Marshall,art/record/99364?highlight=*:*
Valerie (Circa 1987),Renny Tait,art/record/20752?highlight=*:*
Portrait of Seated Man (1956),Ballantyne,art/record/21180?highlight=*:*
Unknown (1949),T. A. Sutter Watt,art/record/50456?highlight=*:*
Portrait of a Woman (Circa 1939),Ian R McRobbie,art/record/21138?highlight=*:*
Untitled - Print of Dining Table with Window (1962),Ann F Ward,art/record/99336?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,art/record/50472?highlight=*:*
Jug,Emma Gillies,art/record/53623?highlight=*:*
View from a Window,Sylvia Mackiewicz,art/record/21453?highlight=*:*
Busmen Newhaven (1960-1964),Irene Thomson,art/record/21901?highlight=*:*
Unknown (1949),Mary D Thomson,art/record/50453?highlight=*:*
Suit of Armour (Circa 1964),Kirkland Main,art/record/21170?highlight=*:*
Untitled (Unknown),Unknown,art/record/21564?highlight=*:*
Untitled (2002),Lisa Flett,art/record/99935?highlight=*:*
Preparatory Sketch (1962),John Picking,art/record/50528?highlight=*:*
Demolished Building,Keith Thomson,art/record/21464?highlight=*:*
Self (1964),Senga Guthrie,art/record/53593?highlight=*:*
Untitled (1946),Esther W. Hamilton,art/record/21730?highlight=*:*
Unknown (1973),David Hogg,art/record/53601?highlight=*:*
Plate,Emma Gillies,art/record/53673?highlight=*:*
Untitled (1967),Sylvia M. R. Cameron,art/record/112303?highlight=*:*
Seated Female Nude (21 NOV 1957),Sheena McEwan,art/record/20900?highlight=*:*
Unknown,Unknown,art/record/53510?highlight=*:*
Plate,Emma Gillies,art/record/53711?highlight=*:*
Scissors,Jayne Stokes,art/record/22615?highlight=*:*
Standing Male Nude (1952),David Michie,art/record/21386?highlight=*:*
Spring Board (Circa 1971),Alan Brown,art/record/22584?highlight=*:*
Needle lace mat,Unknown,art/record/102712?highlight=*:*
Untitled (1960),Robert L Snowden,art/record/21542?highlight=*:*
Abstract Still Life (Circa 1975),Lindsay Moran,art/record/20761?highlight=*:*
Antique Life drawing - 3rd Year (1962),Kathleen Russell,art/record/99520?highlight=*:*
Spinario (Late 19th Century),Musée Royal du Louvre,art/record/20574?highlight=*:*
Untitled (1963),Ruth Walker,art/record/22023?highlight=*:*
Nikola Subić Zrinjski (1983),Boris Bućan,art/record/22033?highlight=*:*
Unknown (1989),Joanne Leonie Milne,art/record/123511?highlight=*:*
Traviata (Unknown),Boris Bućan,art/record/22470?highlight=*:*
Portrait of a Man (1956),Lawrence F. Baxter,art/record/21182?highlight=*:*
Car Crash,Tim Stott,art/record/93373?highlight=*:*
Untitled (1969),James Fleming,art/record/22490?highlight=*:*
Standing Female Nude (31 MAR 1954),John P Busby,art/record/21432?highlight=*:*
Untitled (Unknown),David C Duke,art/record/21979?highlight=*:*
Standing Male Nude (DEC 1951),M McKeown,art/record/21225?highlight=*:*
Untitled (1969),Richard Easson,art/record/22493?highlight=*:*
Portrait of a Woman (1951),Andrew Kidd,art/record/21235?highlight=*:*
Portrait of an Old Man (1952),Frances Walker,art/record/20848?highlight=*:*
Untitled,Dr Ainslie Yule,art/record/99533?highlight=*:*
Volterra (Circa 1920),William Crozier 1893-1930,art/record/21179?highlight=*:*
Part of petticoat,Unknown,art/record/100004?highlight=*:*
Untitled (1961),Paresh C. Chakraborty,art/record/112305?highlight=*:*
Untitled (Unknown),David C Duke,art/record/21983?highlight=*:*
Bathers (1950),Zygmunt Bukowski,art/record/122853?highlight=*:*
Horses and men (facing left),NA,art/record/20659?highlight=*:*
Portrait of a Bearded Man (Circa 1960),Derek Shiel,art/record/20939?highlight=*:*
Still Life Beside Window (1955),Elizabeth Blackadder,art/record/20738?highlight=*:*
Untitled (1971),Alan Brown,art/record/22020?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,art/record/20703?highlight=*:*
Untitled - Figures and Bicycles in the City (1965-1966),James B. Thomson,art/record/99450?highlight=*:*
La Messe de Minuit - Église St Eustache (1963),Ann F Ward,art/record/99342?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99810?highlight=*:*
Not For Gain (2016),Daisy Lafarge,art/record/99238?highlight=*:*
Untitled I (2007),Jenny Smith,art/record/99899?highlight=*:*
Untitled - Life Drawing of a Bearded Man in Brown Jacket (1967),Isobel T Johnstone,art/record/99252?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99807?highlight=*:*
Untitled (1995),John Wallbank,art/record/21714?highlight=*:*
View of a Shipyard (1966),Roy M. W. Cameron,art/record/122837?highlight=*:*
Portrait of an Elderly Man (1956),J Salter,art/record/21190?highlight=*:*
Reclining Female Nude (1969),Gwendoline Rodger,art/record/21276?highlight=*:*
Seated Female Nude (1969),Ian G. Robertson,art/record/22727?highlight=*:*
Schizophrenia (2007),Laura Guoke,art/record/99903?highlight=*:*
Jug,Emma Gillies,art/record/122541?highlight=*:*
Reclining Female Nude (1967),Helen Pollock,art/record/20772?highlight=*:*
Three Men and a Snake (Unknown),Robert Rivers,art/record/21945?highlight=*:*
Untitled (2014),Rachel Hill,art/record/47451?highlight=*:*
Unknown (Unknown),Unknown,art/record/21903?highlight=*:*
Unknown (1993),Rolandos Rimkunas,art/record/99851?highlight=*:*
Profile of a Woman (1963),Leon Francesco Morrocco,art/record/122974?highlight=*:*
Portrait of a Man,Eric Fleming,art/record/21521?highlight=*:*
Seated Female Nude (1963),William Gillon,art/record/21342?highlight=*:*
Pale Brushstrokes,Unknown,art/record/122759?highlight=*:*
Unknown (NOV 1959),John Gilbert,art/record/53493?highlight=*:*
Opuntia Lencotricha (1993-1994),Jane Watt,art/record/99457?highlight=*:*
"Composition with Hieroglyphics, Signs and Symbols (Circa 1977)",Sally E. Oswald,art/record/22561?highlight=*:*
Untitled (2007),Jon McNaught,art/record/99890?highlight=*:*
Untitled - Figure Drawing of A Nude Woman Lying Down (1964-1965),Gordon Bryce,art/record/99278?highlight=*:*
Untitled (Unknown),Unknown,art/record/21862?highlight=*:*
Abstract Composition with Red Squares and Crosses (1976),Gordon MacDonald,art/record/122694?highlight=*:*
Untitled,Jean M. A. Conacher,art/record/112354?highlight=*:*
Portrait of a Woman (1957-1958),Hillary Lewis,art/record/21161?highlight=*:*
Untitled (Unknown),Zoë Telford,art/record/21619?highlight=*:*
Composition with Hanging Black Jacket and Skirt (1987),Margaret June Redfern,art/record/122791?highlight=*:*
144 (2015),Mark Osborne,art/record/53774?highlight=*:*
The Fruitstand (Unknown),Elizabeth Gourlay,art/record/21777?highlight=*:*
Seated Female Nude (1954),Ruth Illingworth,art/record/20935?highlight=*:*
Untitled (1964),James Goodall,art/record/99846?highlight=*:*
Profile of Man in Yellow Jumper,Fergus A Mather,art/record/99357?highlight=*:*
Unknown (20 FEB 1956),James C. Y. Gavin,art/record/53494?highlight=*:*
Horse,Emma Gillies,art/record/122122?highlight=*:*
Teacup,Emma Gillies,art/record/53649?highlight=*:*
Teacup,Emma Gillies,art/record/53648?highlight=*:*
Portrait of a Man (1953),Andrew Restall,art/record/20945?highlight=*:*
Unknown,Josephine Ganter,art/record/53569?highlight=*:*
Unknown (1955),Edith Duke,art/record/53526?highlight=*:*
Unknown (1952),Rosemary Bagshaw,art/record/53518?highlight=*:*
Portrait of a Woman (1952),Dorothy H. N. Forrest,art/record/21202?highlight=*:*
Portrait of a Man (1964),Kirkland Main,art/record/102658?highlight=*:*
Untitled (1947),Allan W. Robson,art/record/21745?highlight=*:*
Chinese damask robe (19th Century),Unknown,art/record/100005?highlight=*:*
Seated Nude (Circa 1988),George M. Glen,art/record/122705?highlight=*:*
River Scene with Boats (Circa 1954),Valerie M. Fraser,art/record/122891?highlight=*:*
Untitled - Two Chefs (1984-1985),Angus C. A. Hood,art/record/99429?highlight=*:*
Untitled (Unknown),Alison Williams,art/record/21944?highlight=*:*
Porcus Omnivorous (1994),Sara Ogilvie,art/record/21960?highlight=*:*
Untitled (1949),Victorine Anne Schilsky,art/record/21746?highlight=*:*
Portrait of a Woman (Circa 1959),Ronald G Browne,art/record/21318?highlight=*:*
Trying to be So Quiet,Nicola M. Wheal,art/record/122902?highlight=*:*
Modesty vest,Unknown,art/record/102682?highlight=*:*
Standing Male Nude with White Cloth,Janet I. Coventry,art/record/22665?highlight=*:*
Still Life in White and Grey,David Giblin,art/record/21519?highlight=*:*
Reclining Female Nude (1960),Jean Ritchie,art/record/20789?highlight=*:*
Composition with Stripes and Full Moon (Circa 1973),Peter Bewsey,art/record/20759?highlight=*:*
Men at Work (1947-1948),Norma G Reid,art/record/20829?highlight=*:*
Skeleton Studies (Circa 1957),David Young,art/record/20861?highlight=*:*
Landscape with Horse (1945-1946),William MacLaren,art/record/21065?highlight=*:*
Untitiled (Circa 1960),Robert L Snowden,art/record/21544?highlight=*:*
Still Life with Fish (1949),Alistair F. Flattely,art/record/22700?highlight=*:*
Portrait of a Man (1968),Charles Ian Patterson,art/record/21321?highlight=*:*
Abstract (Circa 1965),James B. Thomson,art/record/21402?highlight=*:*
Still Life with Goblet (Circa 1958),Alan M. Alexander,art/record/122797?highlight=*:*
Unknown (1952),Maureen Baird,art/record/50623?highlight=*:*
Unknown (1946),Norma Forrest,art/record/50591?highlight=*:*
Portrait of a Man (possibly),Claudia Petretti,art/record/21441?highlight=*:*
Portrait of a Woman (1958),Dorothy Durward,art/record/21141?highlight=*:*
Untitled (1997),Breda Flannagan,art/record/21868?highlight=*:*
Putti with Candelabrum (left group),Unknown,art/record/20539?highlight=*:*
Two Figures Talking Over a Wall (1967),Margaret Lothian,art/record/99271?highlight=*:*
Standing Female Nude (1951),Ruth Wilson,art/record/21230?highlight=*:*
Untitled (1963),[Unknown] Black,art/record/22024?highlight=*:*
Dorothy Allsop sampler (1936),Unknown,art/record/102697?highlight=*:*
Still Life Lobster Creel (1965),Helen M. Percy,art/record/122870?highlight=*:*
Untitled - Abstract Crowd Scene (1964-1965),William Gillon,art/record/99477?highlight=*:*
"Metope 8, south entablature, Parthenon (1837)",NA,art/record/20650?highlight=*:*
Dish,Emma Gillies,art/record/122069?highlight=*:*
Portrait of a Young Boy (1956),David McClure,art/record/21334?highlight=*:*
Saucer,Emma Gillies,art/record/53622?highlight=*:*
Unknown,Colin Brown,art/record/53565?highlight=*:*
Seated Female Nude (Circa 1968),Alan T. Johnston,art/record/20748?highlight=*:*
Picnic at the New Bridge (1963),Alexander Moffat,art/record/22473?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson,art/record/22569?highlight=*:*
Man with Concrete Jungle Record,Garry Campbell,art/record/21426?highlight=*:*
"Circo Togni, Ravenna (1957)",Peter McGinn,art/record/21114?highlight=*:*
Still Life with Teapot (1952),Mollie E N Langlands,art/record/22662?highlight=*:*
Portrait of a Man with Beard (18 JAN 1957),R Wright,art/record/20905?highlight=*:*
"Bank of the Amstel, Amsterdam (30 AUG 1948)",Marjorie Wallace,art/record/50448?highlight=*:*
Untitled (DEC 1970),Kathryn M. Buchan,art/record/21869?highlight=*:*
Unknown (1960),Hugh Deans,art/record/53574?highlight=*:*
Untitled (2007),Rita Marhaug,art/record/99979?highlight=*:*
Seated Female Nude (1939-1940),James H Donaldson,art/record/21125?highlight=*:*
Woman and Fox (FEB 1966),James Fairgrieve,art/record/21344?highlight=*:*
The Ferry,Kathleen Russell,art/record/123103?highlight=*:*
Pattern darned sample,Unknown,art/record/102690?highlight=*:*
Untitled (1966),Helen G. S Forde,art/record/99813?highlight=*:*
Bathers (1962),Vivien Alexander,art/record/22524?highlight=*:*
Still Life (1985),Paul John Croft,art/record/21795?highlight=*:*
Portrait of a Man (1959),Bruce Clapperton,art/record/20909?highlight=*:*
Ludovisi Throne (Circa 1912),Unknown,art/record/20575?highlight=*:*
Two Women with Sail Boats,Unknown,art/record/122757?highlight=*:*
Anatomical figure of legs,NA,art/record/20599?highlight=*:*
Seated Nude (1953),Robert L Thomson,art/record/21121?highlight=*:*
Unknown,Unknown,art/record/50381?highlight=*:*
Red Sky at Night (1968),James H. Fairgrieve,art/record/22678?highlight=*:*
Portrait of a Man,Donald Whyte,art/record/21475?highlight=*:*
